======================================================
-> 标定原始数据
点位,RobX,RobY,RobR,ImgX,ImgY,ImgR

Move[1],35.908,523.178,89.723,953.971441334823,1458.38882196203,-86.6200681556286
Move[2],35.908,538.178,89.723,956.044054513453,892.824231404737,-86.6296757672877
Move[3],35.908,553.178,89.723,957.74522963515,326.681662548582,-86.6304163014895
Move[4],50.908,523.178,89.723,1523.14932328334,1460.46215158068,-86.5659981167054
Move[5],50.908,538.178,89.723,1523.34142184284,895.247694427924,-86.5995216044037
Move[6],50.908,553.178,89.723,1524.38055973004,329.300072934731,-86.620798709989
Move[7],65.908,523.178,89.723,2090.10324840035,1462.28217245614,-86.5668009526307
Move[8],65.908,538.178,89.723,2089.05760890511,897.091208009215,-86.5768660607625
Move[9],65.908,553.178,89.723,2089.43421835036,331.343321343547,-86.5715104130193

Move[1],50.908,538.178,79.723,1522.30626987061,896.371770897555,-86.6109144854832
Move[2],50.908,538.178,84.723,2088.9110305247,932.603067199423,-81.5602433342731
Move[3],50.908,538.178,89.723,1525.28658187614,896.582269538733,-86.5936712232035
Move[4],50.908,538.178,94.723,957.719823456973,909.340182842794,-91.612968139983
Move[5],50.908,538.178,99.723,393.747150662499,970.957709049681,-96.6013563119462

======================================================
-> 标定结果
MatCamera,0.026464, 0.000100, 0.000034, -0.026519, 13.536, 735.056
MatTool,173.302, -2.134, -3.043

======================================================
-> 精度分析
点位,RobToolX,RobToolY,RobToolR,Img2RobX,Img2RobY,Img2RobR,Diff_x(um),Diff_Y(um)
Move[1],38.8801416522035,696.467744443734,86.6801045142042,38.8267919792756,696.469788966935,86.6923276911459,53.3496729279008,-2.04452320156179
Move[2],38.8801416522035,711.467744443734,86.6801045142042,38.8611979720924,711.475422821284,86.708660685192,18.9436801111071,-7.6783775500644
Move[3],38.8801416522035,726.467744443734,86.6801045142042,38.8895383170893,726.486173076745,86.7076785975809,-9.39666488574176,-18.4286330108989
Move[4],53.8801416522035,696.467744443734,86.6801045142042,53.893727673819,696.479752605607,86.6538178913676,-13.58602161541,-12.0081618734957
Move[5],53.8801416522035,711.467744443734,86.6801045142042,53.8786826610775,711.474241678205,86.6862830069741,1.45899112601455,-6.49723447145334
Move[6],53.8801416522035,726.467744443734,86.6801045142042,53.8884093602273,726.480787951547,86.6726279168707,-8.26770802370902,-13.0435078128812
Move[7],68.8801416522035,696.467744443734,86.6801045142042,68.8970263766614,696.484108242563,86.6415325032269,-16.8847244578103,-16.3637988296159
Move[8],68.8801416522035,711.467744443734,86.6801045142042,68.8490439810274,711.473062516751,86.6505748401483,31.0976711760986,-5.31807301729259
Move[9],68.8801416522035,726.467744443734,86.6801045142042,68.8524453010594,726.478836622146,86.6356805697924,27.6963511441153,-11.0921784119
,,,,,,最小值(um/deg),-16.8847244578103, -18.4286330108989
,,,,,,最大值(um/deg),53.3496729279008, -2.04452320156179
,,,,,,极差(um/deg),70.2343973857111, 16.3841098093371

Rotate[1],53.8569839060818,711.451153692973,96.6611656541813,54.0163859148667,711.495982805845,96.6235941928744,-159.402008784866,-44.8291128714118
Rotate[2],53.8569839060818,711.451153692973,94.6642506435085,53.9808545422317,711.43553214222,94.6334355272718,-123.87063614981,15.6215507528259
Rotate[3],53.8569839060818,711.451153692973,92.6677251992555,53.9477114059137,711.408813027887,92.661403811323,-90.7274998318144,42.340665086158
Rotate[4],53.8569839060818,711.451153692973,90.6715723287399,53.8652996405841,711.41803475806,90.6874381678325,-8.3157345022471,33.1189349130909
Rotate[5],53.8569839060818,711.451153692973,88.6757732440279,53.8656347910457,711.413763552695,88.6713530324256,-8.65088496385624,37.3901402783758
Rotate[6],53.8569839060818,711.451153692973,86.6803074543645,53.8247408626882,711.415689089799,86.6793899260205,32.2430433936347,35.4646031744323
Rotate[7],53.8569839060818,711.451153692973,84.6851528664475,53.7836818856075,711.416495134112,84.6992999591878,73.302020474344,34.6585588607695
Rotate[8],53.8569839060818,711.451153692973,82.6902858921396,53.744354474181,711.427833618459,82.7093548676368,112.629431900857,23.3200745141176
Rotate[9],53.8569839060818,711.451153692973,80.6956815629058,53.6997437635981,711.437090220169,80.7132091176864,157.240142483687,14.0634728037412
Rotate[10],53.8569839060818,711.451153692973,78.7013136509408,53.7126328220183,711.455401741991,78.736566535561,144.351084063516,-4.24804901808784
Rotate[11],53.8569839060818,711.451153692973,76.7071547955314,53.6670486084384,711.452930813827,76.7486236950806,189.935297643473,-1.77712085348958
,,,,,,最小值(um/deg),-159.402008784866, -44.8291128714118
,,,,,,最大值(um/deg),189.935297643473, 42.340665086158
,,,,,,极差(um/deg),349.337306428339, 87.1697779575697
