======================================================
-> 标定原始数据
点位,RobX,RobY,RobR,ImgX,ImgY,ImgR

Move[1],-408.512,210.799,-0.009,416.379683679014,1742.26834785847,-89.1338971903091
Move[2],-408.512,230.799,-0.009,399.999667632848,986.910843233541,-89.0627470538919
Move[3],-408.512,250.799,-0.009,375.026578465215,226.844559272115,-89.061762747429
Move[4],-388.512,210.799,-0.009,1180.46949380888,1720.17245914997,-88.9638042996094
Move[5],-388.512,230.799,-0.009,1164.49603421855,964.053989348734,-89.0888853375851
Move[6],-388.512,250.799,-0.009,1137.54151596089,202.291674993296,-89.0713074138435
Move[7],-368.512,210.799,-0.009,1937.79638646841,1698.3832501878,-89.0094146226723
Move[8],-368.512,230.799,-0.009,1921.93343073468,941.329257220537,-89.0246184702409
Move[9],-368.512,250.799,-0.009,1897.43846047388,179.481597316385,-89.0811720321607

Move[1],-388.512,230.799,-3.009,2148.93254387085,1152.92295396314,-85.9891644774151
Move[2],-388.512,230.799,-1.509,1663.09044003032,1052.66170333951,-87.4931149008764
Move[3],-388.512,230.799,-0.009,1165.96405632423,962.746163975486,-89.0333587983167
Move[4],-388.512,230.799,1.491,661.814145388315,885.738975549901,-90.504692770207
Move[5],-388.512,230.799,2.991,158.947537973095,822.452139842818,-92.0419916794521

======================================================
-> 标定结果
MatCamera,0.026261, -0.000789, -0.000719, -0.026339, -320.216, 752.205
MatTool,98.105, 495.110, 87.536

======================================================
-> 精度分析
点位,RobToolX,RobToolY,RobToolR,Img2RobX,Img2RobY,Img2RobR,Diff_x(um),Diff_Y(um)
Move[1],-310.329469950948,705.894065249374,87.5274267026174,-310.538697718505,705.993409451403,87.4873750353085,209.227767556797,-99.3442020286466
Move[2],-310.329469950948,725.894065249374,87.5274267026174,-310.437356696354,725.902188491014,87.5004233411324,107.886745405892,-8.12324164041911
Move[3],-310.329469950948,745.894065249374,87.5274267026174,-310.535889474401,745.92663351059,87.5127263021105,206.419523452837,-32.568261216511
Move[4],-290.329469950948,705.894065249374,87.5274267026174,-290.447789159329,705.974965367298,87.3783347292204,118.319208381251,-80.9001179236475
Move[5],-290.329469950948,725.894065249374,87.5274267026174,-290.327267951475,725.904945931169,87.4935428629607,-2.20199947256106,-10.8806817950153
Move[6],-290.329469950948,745.894065249374,87.5274267026174,-290.491785619883,745.980045505608,87.4456934689347,162.315668935548,-85.9802562337109
Move[7],-270.329469950948,705.894065249374,87.5274267026174,-270.555290649385,705.94429323668,87.4779862946602,225.820698437474,-50.227987305675
Move[8],-270.329469950948,725.894065249374,87.5274267026174,-270.417732291885,725.900581099711,87.4377635003555,88.2623409368648,-6.51585033710944
Move[9],-270.329469950948,745.894065249374,87.5274267026174,-270.527348585675,745.98376390949,87.4722042436886,197.878634726635,-89.6986601159142
,,,,,,最小值(um/deg),-2.20199947256106, -99.3442020286466
,,,,,,最大值(um/deg),225.820698437474, -6.51585033710944
,,,,,,极差(um/deg),228.022697910035, 92.8283516915371

Rotate[1],-290.5855620832,725.975353900927,97.5215365852495,-291.29093146272,726.054518369648,97.4094496187423,705.369379520221,-79.1644687203643
Rotate[2],-290.5855620832,725.975353900927,95.528643095651,-291.375797055929,726.133547662779,95.4664745916355,790.234972728797,-158.193761851635
Rotate[3],-290.5855620832,725.975353900927,93.5354799627445,-291.256458343426,726.113539217986,93.5149293375587,670.896260225902,-138.185317058628
Rotate[4],-290.5855620832,725.975353900927,91.542013986564,-291.100857146186,726.095969198696,91.4587036778344,515.295062986127,-120.615297768381
Rotate[5],-290.5855620832,725.975353900927,89.5482134131233,-291.029385691913,726.072216833393,89.5292123928789,443.823608712478,-96.8629324656831
Rotate[6],-290.5855620832,725.975353900927,87.5540480876245,-290.84975968263,726.06721350242,87.5578618320548,264.197599430247,-91.8596014926152
Rotate[7],-290.5855620832,725.975353900927,85.5594896001447,-290.808645905058,726.059684182804,85.5806071433917,223.083821857529,-84.330281876305
Rotate[8],-290.5855620832,725.975353900927,83.5645114238379,-290.706442107443,726.084923756785,83.595728210297,120.880024242467,-109.569855857671
Rotate[9],-290.5855620832,725.975353900927,81.569089044799,-290.486214507381,726.085358128718,81.6345743840699,-99.3475758186264,-110.004227790228
Rotate[10],-290.5855620832,725.975353900927,79.5732000818251,-290.363751719187,726.11787822566,79.5980368936263,-221.810364012697,-142.524324732904
Rotate[11],-290.5855620832,725.975353900927,77.5768243972717,-290.327477597975,726.13057560892,77.6292567313054,-258.084485224572,-155.221707992155
,,,,,,最小值(um/deg),-258.084485224572, -158.193761851635
,,,,,,最大值(um/deg),790.234972728797, -79.1644687203643
,,,,,,极差(um/deg),1048.31945795337, 79.0292931312706
