======================================================
-> 标定原始数据
点位,RobX,RobY,RobR,ImgX,ImgY,ImgR

Move[1],-403.512,234.781,-0.009,711.05210510482,1572.34966350389,-94.786153747581
Move[2],-403.512,249.781,-0.009,698.339618981579,1004.91545253916,-94.7978496864668
Move[3],-403.512,264.781,-0.009,681.683224171823,433.931283873457,-94.796593426071
Move[4],-388.512,234.781,-0.009,1283.66768955574,1553.94093357239,-94.7779348440842
Move[5],-388.512,249.781,-0.009,1271.24929567108,986.882253196942,-94.7306539351885
Move[6],-388.512,264.781,-0.009,1251.22226890668,417.301173337978,-94.7675754515501
Move[7],-373.512,234.781,-0.009,1852.81851441655,1536.89214173964,-94.7340040201941
Move[8],-373.512,249.781,-0.009,1841.95373739121,970.688440614142,-94.7380793540942
Move[9],-373.512,264.781,-0.009,1826.4083694606,398.921108897975,-94.7574238471819

Move[1],-388.512,249.781,-2.009,1905.03975145068,1110.87453642338,-92.7407990575724
Move[2],-388.512,249.781,-0.009,1273.31670592698,985.576519648055,-94.7329853790807
Move[3],-388.512,249.781,1.991,631.907106936414,881.463001493947,-96.7856448434461

======================================================
-> 标定结果
MatCamera,0.026217, -0.000804, -0.000678, -0.026349, -336.734, 754.955
MatTool,84.363, 478.162, 93.241

======================================================
-> 精度分析
点位,RobToolX,RobToolY,RobToolR,Img2RobX,Img2RobY,Img2RobR,Diff_x(um),Diff_Y(um)
Move[1],-319.074020174178,712.930116462938,93.2322699537957,-319.171541601953,712.96619406757,93.2881170196098,97.521427775348,-36.0776046318279
Move[2],-319.074020174178,727.930116462938,93.2322699537957,-319.115035120015,727.928225597797,93.2735516677881,41.0149458376736,1.89086514092196
Move[3],-319.074020174178,742.930116462938,93.2322699537957,-319.16000391476,742.981474169258,93.2733069959348,85.9837405823214,-51.3577063197772
Move[4],-304.074020174178,712.930116462938,93.2322699537957,-304.131093926496,712.981882988513,93.2628051703904,57.0737523181037,-51.7665255750899
Move[5],-304.074020174178,727.930116462938,93.2322699537957,-304.07524718754,727.928928930086,93.254919476124,1.22701336294995,1.1875328516453
Move[6],-304.074020174178,742.930116462938,93.2322699537957,-304.204348904619,742.956520154218,93.2058155587132,130.328730441533,-26.4036912806205
Move[7],-289.074020174178,712.930116462938,93.2322699537957,-289.195460426825,712.940785909534,93.2430279938838,121.440252647517,-10.6694465960118
Move[8],-289.074020174178,727.930116462938,93.2322699537957,-289.098352401905,727.919707357246,93.2374643420315,24.3322277274842,10.409105691906
Move[9],-289.074020174178,742.930116462938,93.2322699537957,-289.123060644109,742.98266462487,93.2396708607124,49.0404699315263,-52.5481619326911
,,,,,,最小值(um/deg),1.22701336294995, -52.5481619326911
,,,,,,最大值(um/deg),130.328730441533, 10.409105691906
,,,,,,极差(um/deg),129.101717078584, 62.9572676245971

Rotate[1],-304.235721441634,728.008706856759,103.2297739727,-304.689663760039,730.981775942158,103.169048724355,453.942318405893,-2973.06908539986
Rotate[2],-304.235721441634,728.008706856759,101.242923089989,-304.663464335321,730.477742395659,101.197008719718,427.742893687025,-2469.03553890081
Rotate[3],-304.235721441634,728.008706856759,99.2557471201577,-304.593094537437,729.885542606864,99.2227225813855,357.373095803609,-1876.83575010499
Rotate[4],-304.235721441634,728.008706856759,97.2681840885819,-304.527290532287,729.272594803143,97.2227019786915,291.569090653581,-1263.88794638387
Rotate[5],-304.235721441634,728.008706856759,95.2801738352262,-304.444221830271,728.715364994566,95.2937739891236,208.500388637503,-706.658137807153
Rotate[6],-304.235721441634,728.008706856759,93.2916582994856,-304.399401679881,728.113263105332,93.3052152158134,163.68023824765,-104.556248573203
Rotate[7],-304.235721441634,728.008706856759,91.3025817959366,-304.377158529047,727.506625394237,91.3224738253141,141.437087413237,502.081462521915
Rotate[8],-304.235721441634,728.008706856759,89.3128912805697,-304.428626257717,726.967289811417,89.4034251200433,192.90481608374,1041.41704534209
Rotate[9],-304.235721441634,728.008706856759,87.3225366061848,-304.439279842516,726.402033608415,87.4311329290106,203.558400882173,1606.67324834378
Rotate[10],-304.235721441634,728.008706856759,85.3314707639909,-304.50409169996,725.826080448165,85.4610252916053,268.370258326797,2182.62640859359
Rotate[11],-304.235721441634,728.008706856759,83.3396501140195,-304.560377715329,725.25949269668,83.4823508837148,324.656273695439,2749.21416007828
,,,,,,最小值(um/deg),141.437087413237, -2973.06908539986
,,,,,,最大值(um/deg),453.942318405893, 2749.21416007828
,,,,,,极差(um/deg),312.505230992656, 5722.28324547814
