======================================================
-> 标定原始数据
点位,RobX,RobY,RobR,ImgX,ImgY,ImgR

Move[1],-403.512,215.799,-0.009,603.25378908002,1547.71885621824,-89.0278518889817
Move[2],-403.512,230.799,-0.009,593.053064041319,983.154927273856,-89.022243624151
Move[3],-403.512,245.799,-0.009,574.848722193178,411.016603009925,-88.9477488393468
Move[4],-388.512,215.799,-0.009,1176.31580328758,1531.21961677692,-88.9636206722834
Move[5],-388.512,230.799,-0.009,1165.74226507294,964.388925547417,-88.9851578817897
Move[6],-388.512,245.799,-0.009,1142.60153906722,393.78224354081,-88.9482874974956
Move[7],-373.512,215.799,-0.009,1744.89220567089,1515.57461779038,-88.9673038394947
Move[8],-373.512,230.799,-0.009,1731.42507189335,947.237017746646,-88.9752229091235
Move[9],-373.512,245.799,-0.009,1715.04942886727,375.414919756217,-88.9584894452641

Move[1],-388.512,230.799,-3.009,2149.92680208576,1153.16546029661,-85.9829135816228
Move[2],-388.512,230.799,-1.509,1664.17473653784,1053.30172827142,-87.4850190549934
Move[3],-388.512,230.799,-0.009,1166.86152958359,963.603186748897,-88.9964370309669
Move[4],-388.512,230.799,1.491,663.397379550056,886.172353882048,-90.4456773978821
Move[5],-388.512,230.799,2.991,160.997839036818,823.106333331534,-92.0039737672914

======================================================
-> 标定结果
MatCamera,0.026292, -0.000798, -0.000708, -0.026338, -318.837, 759.652
MatTool,99.563, 502.539, 87.455

======================================================
-> 精度分析
点位,RobToolX,RobToolY,RobToolR,Img2RobX,Img2RobY,Img2RobR,Diff_x(um),Diff_Y(um)
Move[1],-303.870062499453,718.321868647791,87.4460209358055,-304.082523228604,718.422320004898,87.4594314156324,212.460729150848,-100.451357106408
Move[2],-303.870062499453,733.321868647791,87.4460209358055,-303.951510587812,733.299414011815,87.4440824201909,81.448088358627,22.4546359758051
Move[3],-303.870062499453,748.321868647791,87.4460209358055,-304.028781288882,748.371532499992,87.4537706092854,158.71878942886,-49.6638522010926
Move[4],-288.870062499453,718.321868647791,87.4460209358055,-288.994450747551,718.39318113382,87.4277932935257,124.388248098057,-71.3124860288872
Move[5],-288.870062499453,733.321868647791,87.4460209358055,-288.876520343562,733.316495361516,87.4373826995867,6.45784410858141,5.37328627490297
Move[6],-288.870062499453,748.321868647791,87.4460209358055,-289.078102383575,748.378163513494,87.4008058107837,208.039884121433,-56.2948657029665
Move[7],-273.870062499453,718.321868647791,87.4460209358055,-274.032835142214,718.345403347058,87.4102043125216,162.772642760729,-23.5346992672021
Move[8],-273.870062499453,733.321868647791,87.4460209358055,-273.984169280459,733.31878005827,87.387940433397,114.106781005717,3.0885895209849
Move[9],-273.870062499453,748.321868647791,87.4460209358055,-274.021022284878,748.397065964275,87.4535011593257,150.959785424959,-75.1973164836954
,,,,,,最小值(um/deg),6.45784410858141, -100.451357106408
,,,,,,最大值(um/deg),212.460729150848, 22.4546359758051
,,,,,,极差(um/deg),206.002885042267, 122.905993082213

Rotate[1],-289.1233304973,733.408203144634,97.4630663814654,-288.552878991615,733.365659110758,97.3604681813189,-570.451505685242,42.5440338765384
Rotate[2],-289.1233304973,733.408203144634,95.4681399942683,-288.886203437002,733.422813888306,95.4269133720136,-237.127060297553,-14.6107436713692
Rotate[3],-289.1233304973,733.408203144634,93.4728040719995,-289.016734968142,733.437830835379,93.4250215921013,-106.595529157573,-29.6276907444053
Rotate[4],-289.1233304973,733.408203144634,91.4770358381613,-289.139506339441,733.469245351459,91.4611405752851,16.1758421410241,-61.0422068245953
Rotate[5],-289.1233304973,733.408203144634,89.4808145939933,-289.315988230189,733.470090401261,89.5064754940309,192.657732888961,-61.8872566270738
Rotate[6],-289.1233304973,733.408203144634,87.4841218214084,-289.398042811352,733.502863630208,87.5284283451622,274.712314052522,-94.6604855739679
Rotate[7],-289.1233304973,733.408203144634,85.4869412751194,-289.604054406941,733.570553470177,85.4938012386575,480.723909640574,-162.350325542548
Rotate[8],-289.1233304973,733.408203144634,83.4892590643048,-289.757681946797,733.652432001556,83.5604636002973,634.351449497046,-244.228856922064
Rotate[9],-289.1233304973,733.408203144634,81.4910637233455,-289.809518660671,733.716703470673,81.5400723023696,686.188163371298,-308.500326039166
Rotate[10],-289.1233304973,733.408203144634,79.4923462710455,-289.942995841318,733.824034082996,79.5595351274966,819.665344017778,-415.830938361864
Rotate[11],-289.1233304973,733.408203144634,77.4931002579931,-290.134062755973,733.9276670501,77.6184091847864,1010.73225867344,-519.4639054655
,,,,,,最小值(um/deg),-570.451505685242, -519.4639054655
,,,,,,最大值(um/deg),1010.73225867344, 42.5440338765384
,,,,,,极差(um/deg),1581.18376435868, 562.007939342038
